Job ID,Job Title,Company Name,Job Location,Job Type,Salary Range,Experience Required,Posted Date,Application Deadline,Job Portal,Number of Applicants,Education Requirement,Skills Required,Remote/Onsite,Company Size
JOB3722,HR Manager,HCL,Kolkata,Internship,12-20 LPA,10+ years,2025-01-04,2025-01-11,LinkedIn,439,M.Tech,"React, AWS, Machine Learning",Remote,Large (500+)
JOB3723,Data Scientist,IBM,Noida,Part-time,20+ LPA,5-10 years,2025-01-02,2025-01-09,Naukri.com,329,M.Tech,"Python, Digital Marketing, SQL",Remote,Large (500+)
JOB3724,Graphic Designer,Deloitte,Pune,Internship,3-5 LPA,0-2 years,2025-01-13,2025-01-28,Indeed,371,PhD,"Machine Learning, Python, SQL",Onsite,Large (500+)
JOB3725,HR Manager,Google,Ahmedabad,Part-time,5-8 LPA,2-5 years,2024-12-24,2025-01-05,LinkedIn,28,B.Sc,"C++, React, SQL",Remote,Medium (51-500)
JOB3726,Business Analyst,Microsoft,Ahmedabad,Contract,12-20 LPA,5-10 years,2025-01-04,2025-02-03,LinkedIn,307,M.Tech,"React, Machine Learning, SQL",Remote,Large (500+)
JOB3727,Marketing Executive,Accenture,Jaipur,Full-time,20+ LPA,2-5 years,2025-01-02,2025-02-01,LinkedIn,105,B.Sc,"Python, Digital Marketing, SQL",Onsite,Medium (51-500)
JOB3728,Data Scientist,IBM,Mumbai,Internship,20+ LPA,2-5 years,2025-01-07,2025-01-16,Indeed,65,M.Tech,"React, AWS, UI/UX",Remote,Medium (51-500)
JOB3729,Business Analyst,Wipro,Hyderabad,Contract,12-20 LPA,10+ years,2024-12-24,2025-01-14,Indeed,397,B.Tech,"AWS, Python, UI/UX",Remote,Small (1-50)
JOB3730,Graphic Designer,HCL,Bangalore,Contract,20+ LPA,10+ years,2025-01-20,2025-02-02,Indeed,345,MBA,"Excel, C++, Digital Marketing",Onsite,Medium (51-500)
JOB3731,Product Manager,IBM,Noida,Contract,8-12 LPA,0-2 years,2025-01-03,2025-01-25,Indeed,143,B.Tech,"Excel, AWS, Machine Learning",Onsite,Small (1-50)
JOB3732,HR Manager,Google,Delhi,Full-time,5-8 LPA,5-10 years,2025-01-17,2025-02-13,LinkedIn,199,MBA,"Digital Marketing, C++, Machine Learning",Hybrid,Medium (51-500)
JOB3733,Software Engineer,IBM,Noida,Contract,3-5 LPA,5-10 years,2024-12-31,2025-01-14,Indeed,139,M.Tech,"UI/UX, Machine Learning, Excel",Remote,Medium (51-500)
JOB3734,Financial Analyst,Amazon,Bangalore,Part-time,8-12 LPA,5-10 years,2025-01-14,2025-02-13,Naukri.com,392,B.Tech,"Digital Marketing, Machine Learning, C++",Hybrid,Large (500+)
JOB3735,Marketing Executive,Amazon,Noida,Part-time,12-20 LPA,5-10 years,2025-01-06,2025-02-05,Indeed,104,M.Tech,"Digital Marketing, UI/UX, Machine Learning",Onsite,Medium (51-500)
JOB3736,Sales Representative,Google,Bangalore,Contract,8-12 LPA,0-2 years,2025-01-04,2025-01-14,LinkedIn,458,MBA,"Digital Marketing, C++, Python",Remote,Small (1-50)
JOB3737,HR Manager,Microsoft,Noida,Full-time,3-5 LPA,5-10 years,2024-12-28,2025-01-08,Naukri.com,279,MBA,"UI/UX, Machine Learning, AWS",Hybrid,Small (1-50)
JOB3738,Cyber Security Analyst,HCL,Chennai,Contract,5-8 LPA,10+ years,2025-01-16,2025-01-29,LinkedIn,421,B.Tech,"SQL, Excel, AWS",Remote,Small (1-50)
JOB3739,Cyber Security Analyst,IBM,Mumbai,Contract,12-20 LPA,0-2 years,2025-01-02,2025-01-21,Naukri.com,359,M.Tech,"React, Machine Learning, Java",Remote,Medium (51-500)
JOB3740,Marketing Executive,HCL,Delhi,Contract,8-12 LPA,10+ years,2024-12-28,2025-01-16,Naukri.com,387,B.Tech,"SQL, Python, C++",Onsite,Medium (51-500)
JOB3741,HR Manager,Wipro,Mumbai,Contract,3-5 LPA,2-5 years,2025-01-09,2025-01-26,LinkedIn,222,M.Tech,"C++, SQL, AWS",Remote,Medium (51-500)
JOB3742,Marketing Executive,Amazon,Ahmedabad,Contract,5-8 LPA,10+ years,2024-12-23,2025-01-21,Indeed,450,M.Tech,"UI/UX, Excel, Digital Marketing",Onsite,Large (500+)
JOB3743,HR Manager,TCS,Chennai,Internship,12-20 LPA,2-5 years,2025-01-10,2025-01-22,Naukri.com,498,MBA,"SQL, C++, React",Hybrid,Small (1-50)
JOB3744,Sales Representative,TCS,Delhi,Full-time,3-5 LPA,10+ years,2024-12-25,2025-01-19,LinkedIn,424,PhD,"C++, Excel, Java",Remote,Medium (51-500)
JOB3745,Data Scientist,Amazon,Hyderabad,Contract,12-20 LPA,10+ years,2025-01-15,2025-01-23,Naukri.com,287,B.Tech,"Python, C++, Java",Onsite,Large (500+)
JOB3746,Financial Analyst,IBM,Chennai,Full-time,20+ LPA,10+ years,2025-01-07,2025-02-03,LinkedIn,472,B.Tech,"UI/UX, Python, SQL",Remote,Medium (51-500)
JOB3747,Financial Analyst,Infosys,Jaipur,Part-time,5-8 LPA,0-2 years,2024-12-30,2025-01-25,LinkedIn,483,B.Sc,"Java, Excel, AWS",Hybrid,Large (500+)
JOB3748,Cyber Security Analyst,Deloitte,Noida,Full-time,20+ LPA,10+ years,2024-12-28,2025-01-23,Indeed,328,M.Tech,"UI/UX, Machine Learning, AWS",Hybrid,Large (500+)
JOB3749,Graphic Designer,IBM,Pune,Part-time,12-20 LPA,0-2 years,2025-01-06,2025-01-14,LinkedIn,404,B.Sc,"Machine Learning, SQL, C++",Hybrid,Medium (51-500)
JOB3750,Graphic Designer,Infosys,Noida,Part-time,12-20 LPA,10+ years,2025-01-20,2025-02-11,Indeed,376,MBA,"Python, C++, AWS",Remote,Medium (51-500)
JOB3751,Graphic Designer,Deloitte,Mumbai,Internship,3-5 LPA,5-10 years,2024-12-30,2025-01-17,Naukri.com,438,MBA,"UI/UX, Excel, Digital Marketing",Onsite,Medium (51-500)
JOB3752,Data Scientist,TCS,Hyderabad,Full-time,3-5 LPA,10+ years,2025-01-17,2025-01-30,Naukri.com,213,PhD,"React, AWS, UI/UX",Hybrid,Large (500+)
JOB3753,Marketing Executive,Microsoft,Delhi,Internship,5-8 LPA,2-5 years,2024-12-23,2025-01-01,Naukri.com,429,B.Tech,"C++, Python, UI/UX",Hybrid,Medium (51-500)
JOB3754,Graphic Designer,Microsoft,Mumbai,Full-time,20+ LPA,0-2 years,2025-01-14,2025-02-03,LinkedIn,204,B.Sc,"AWS, C++, Java",Remote,Large (500+)
JOB3755,Graphic Designer,Microsoft,Noida,Contract,3-5 LPA,2-5 years,2024-12-23,2025-01-05,LinkedIn,254,MBA,"UI/UX, Digital Marketing, C++",Hybrid,Small (1-50)
JOB3756,Business Analyst,Amazon,Bangalore,Part-time,3-5 LPA,10+ years,2025-01-05,2025-01-14,Indeed,145,M.Tech,"UI/UX, C++, Python",Remote,Medium (51-500)
JOB3757,Marketing Executive,Google,Jaipur,Internship,20+ LPA,2-5 years,2025-01-05,2025-02-02,Naukri.com,361,MBA,"C++, Excel, UI/UX",Hybrid,Large (500+)
JOB3758,Graphic Designer,Wipro,Jaipur,Full-time,20+ LPA,0-2 years,2025-01-14,2025-01-28,Indeed,230,PhD,"Digital Marketing, AWS, C++",Remote,Small (1-50)
JOB3759,Product Manager,IBM,Pune,Internship,8-12 LPA,2-5 years,2025-01-03,2025-01-14,LinkedIn,246,B.Sc,"React, Digital Marketing, SQL",Onsite,Medium (51-500)
JOB3760,Financial Analyst,IBM,Hyderabad,Internship,12-20 LPA,5-10 years,2024-12-31,2025-01-18,Indeed,40,B.Sc,"SQL, C++, AWS",Hybrid,Medium (51-500)
JOB3761,Product Manager,Infosys,Pune,Part-time,12-20 LPA,0-2 years,2025-01-03,2025-01-25,Indeed,427,M.Tech,"React, Python, Digital Marketing",Hybrid,Large (500+)
JOB3762,Sales Representative,IBM,Ahmedabad,Internship,12-20 LPA,10+ years,2024-12-25,2025-01-11,LinkedIn,143,B.Tech,"AWS, Python, UI/UX",Onsite,Small (1-50)
JOB3763,Sales Representative,Accenture,Pune,Part-time,20+ LPA,0-2 years,2025-01-05,2025-01-23,Indeed,55,B.Sc,"Digital Marketing, Python, React",Onsite,Small (1-50)
JOB3764,Software Engineer,Microsoft,Hyderabad,Internship,20+ LPA,10+ years,2025-01-21,2025-02-01,Indeed,18,B.Sc,"Java, C++, Python",Remote,Large (500+)
JOB3765,Data Scientist,IBM,Delhi,Part-time,3-5 LPA,2-5 years,2025-01-21,2025-02-18,LinkedIn,161,MBA,"C++, UI/UX, React",Remote,Medium (51-500)
JOB3766,Financial Analyst,Amazon,Kolkata,Part-time,20+ LPA,0-2 years,2025-01-21,2025-02-02,Indeed,331,B.Sc,"AWS, UI/UX, Java",Onsite,Large (500+)
JOB3767,Graphic Designer,IBM,Bangalore,Part-time,20+ LPA,5-10 years,2024-12-27,2025-01-23,Indeed,374,PhD,"Digital Marketing, React, SQL",Remote,Large (500+)
JOB3768,Product Manager,TCS,Bangalore,Part-time,3-5 LPA,2-5 years,2024-12-26,2025-01-21,Indeed,241,B.Sc,"React, Machine Learning, UI/UX",Hybrid,Large (500+)
JOB3769,Sales Representative,Deloitte,Noida,Full-time,20+ LPA,5-10 years,2024-12-29,2025-01-14,LinkedIn,79,PhD,"UI/UX, C++, SQL",Onsite,Medium (51-500)
JOB3770,Data Scientist,Deloitte,Pune,Internship,20+ LPA,2-5 years,2025-01-14,2025-02-13,Indeed,23,B.Sc,"Excel, Python, UI/UX",Hybrid,Large (500+)
JOB3771,HR Manager,Amazon,Ahmedabad,Contract,12-20 LPA,10+ years,2025-01-15,2025-02-14,LinkedIn,442,PhD,"Machine Learning, C++, Python",Hybrid,Large (500+)
JOB3772,HR Manager,TCS,Ahmedabad,Internship,8-12 LPA,2-5 years,2025-01-20,2025-02-10,LinkedIn,489,M.Tech,"SQL, Python, UI/UX",Onsite,Medium (51-500)
JOB3773,Business Analyst,TCS,Noida,Contract,20+ LPA,0-2 years,2025-01-22,2025-02-07,Naukri.com,348,PhD,"AWS, Excel, Machine Learning",Remote,Large (500+)
JOB3774,Sales Representative,Deloitte,Pune,Internship,8-12 LPA,10+ years,2025-01-10,2025-02-01,Indeed,401,PhD,"React, C++, AWS",Onsite,Small (1-50)
JOB3775,Business Analyst,Amazon,Kolkata,Contract,20+ LPA,2-5 years,2025-01-06,2025-01-24,LinkedIn,12,M.Tech,"Excel, Digital Marketing, AWS",Hybrid,Large (500+)
JOB3776,Software Engineer,HCL,Mumbai,Full-time,12-20 LPA,5-10 years,2025-01-10,2025-01-31,Naukri.com,300,B.Sc,"Machine Learning, Java, AWS",Hybrid,Large (500+)
JOB3777,Software Engineer,Deloitte,Mumbai,Full-time,20+ LPA,10+ years,2024-12-30,2025-01-09,Indeed,220,MBA,"UI/UX, Excel, React",Remote,Large (500+)
JOB3778,Software Engineer,Accenture,Kolkata,Part-time,3-5 LPA,0-2 years,2025-01-06,2025-01-25,Naukri.com,139,B.Sc,"Python, React, Machine Learning",Onsite,Small (1-50)
JOB3779,Business Analyst,Wipro,Jaipur,Full-time,3-5 LPA,0-2 years,2025-01-14,2025-01-28,Naukri.com,285,PhD,"React, Digital Marketing, SQL",Hybrid,Small (1-50)
JOB3780,Cyber Security Analyst,Infosys,Bangalore,Internship,8-12 LPA,2-5 years,2025-01-04,2025-01-16,Naukri.com,33,PhD,"Python, React, Excel",Onsite,Medium (51-500)
JOB3781,Software Engineer,IBM,Pune,Full-time,3-5 LPA,2-5 years,2025-01-03,2025-01-21,Indeed,216,PhD,"Machine Learning, Digital Marketing, UI/UX",Hybrid,Large (500+)
JOB3782,Cyber Security Analyst,IBM,Ahmedabad,Contract,5-8 LPA,5-10 years,2025-01-06,2025-01-20,Indeed,261,B.Sc,"Digital Marketing, SQL, Python",Hybrid,Medium (51-500)
JOB3783,Software Engineer,Infosys,Bangalore,Internship,8-12 LPA,0-2 years,2025-01-15,2025-01-26,Naukri.com,125,B.Tech,"Digital Marketing, C++, UI/UX",Onsite,Medium (51-500)
JOB3784,Product Manager,Accenture,Delhi,Part-time,20+ LPA,0-2 years,2025-01-13,2025-01-22,Indeed,193,PhD,"Machine Learning, UI/UX, C++",Remote,Large (500+)
JOB3785,Data Scientist,Infosys,Mumbai,Full-time,12-20 LPA,2-5 years,2024-12-30,2025-01-17,LinkedIn,266,B.Sc,"AWS, React, UI/UX",Onsite,Small (1-50)
JOB3786,Marketing Executive,Google,Jaipur,Internship,5-8 LPA,0-2 years,2025-01-08,2025-01-28,LinkedIn,18,MBA,"AWS, React, UI/UX",Onsite,Small (1-50)
JOB3787,Data Scientist,Amazon,Kolkata,Part-time,20+ LPA,5-10 years,2024-12-29,2025-01-17,LinkedIn,189,B.Sc,"UI/UX, Java, SQL",Hybrid,Small (1-50)
JOB3788,Data Scientist,Infosys,Chennai,Internship,20+ LPA,5-10 years,2025-01-02,2025-01-10,Naukri.com,114,B.Tech,"Machine Learning, UI/UX, AWS",Remote,Small (1-50)
JOB3789,Cyber Security Analyst,Microsoft,Bangalore,Internship,3-5 LPA,0-2 years,2025-01-08,2025-02-03,Indeed,184,B.Tech,"C++, SQL, Digital Marketing",Hybrid,Medium (51-500)
JOB3790,Graphic Designer,Wipro,Ahmedabad,Part-time,3-5 LPA,2-5 years,2025-01-08,2025-01-24,LinkedIn,362,M.Tech,"Excel, Python, C++",Remote,Large (500+)
JOB3791,Cyber Security Analyst,TCS,Jaipur,Part-time,3-5 LPA,10+ years,2024-12-26,2025-01-04,LinkedIn,340,M.Tech,"C++, Digital Marketing, UI/UX",Hybrid,Medium (51-500)
JOB3792,Product Manager,Infosys,Bangalore,Full-time,12-20 LPA,10+ years,2025-01-12,2025-02-01,Naukri.com,124,MBA,"Java, AWS, UI/UX",Onsite,Large (500+)
JOB3793,HR Manager,Amazon,Bangalore,Contract,5-8 LPA,10+ years,2025-01-17,2025-02-04,Indeed,43,MBA,"C++, SQL, React",Remote,Small (1-50)
JOB3794,Graphic Designer,Microsoft,Chennai,Full-time,12-20 LPA,2-5 years,2025-01-12,2025-01-20,LinkedIn,311,MBA,"Excel, Digital Marketing, Python",Onsite,Large (500+)
JOB3795,Data Scientist,TCS,Ahmedabad,Full-time,5-8 LPA,0-2 years,2025-01-03,2025-01-21,Indeed,168,PhD,"Excel, SQL, Digital Marketing",Onsite,Medium (51-500)
JOB3796,Financial Analyst,Deloitte,Hyderabad,Internship,5-8 LPA,5-10 years,2025-01-18,2025-02-14,Naukri.com,347,M.Tech,"Python, React, Excel",Remote,Large (500+)
JOB3797,Cyber Security Analyst,Amazon,Chennai,Full-time,5-8 LPA,2-5 years,2025-01-14,2025-02-13,Naukri.com,492,MBA,"C++, Digital Marketing, Machine Learning",Remote,Medium (51-500)
JOB3798,Software Engineer,Deloitte,Bangalore,Part-time,5-8 LPA,10+ years,2024-12-24,2025-01-19,Naukri.com,20,B.Sc,"Digital Marketing, Java, C++",Hybrid,Large (500+)
JOB3799,Software Engineer,Wipro,Kolkata,Contract,20+ LPA,2-5 years,2025-01-19,2025-01-30,Naukri.com,175,PhD,"UI/UX, Java, Digital Marketing",Hybrid,Large (500+)
JOB3800,HR Manager,HCL,Kolkata,Part-time,8-12 LPA,5-10 years,2025-01-19,2025-02-16,Indeed,416,B.Tech,"SQL, Excel, Machine Learning",Onsite,Large (500+)
JOB3801,HR Manager,Google,Jaipur,Part-time,20+ LPA,10+ years,2025-01-19,2025-02-04,Naukri.com,83,MBA,"Excel, Python, C++",Onsite,Small (1-50)
JOB3802,Sales Representative,Infosys,Pune,Contract,20+ LPA,0-2 years,2024-12-30,2025-01-16,Indeed,31,B.Tech,"Python, Java, AWS",Hybrid,Medium (51-500)
JOB3803,Business Analyst,Infosys,Hyderabad,Part-time,5-8 LPA,10+ years,2025-01-04,2025-01-15,Naukri.com,260,MBA,"UI/UX, Digital Marketing, Machine Learning",Hybrid,Large (500+)
JOB3804,Financial Analyst,IBM,Pune,Internship,3-5 LPA,5-10 years,2024-12-31,2025-01-09,Naukri.com,167,PhD,"C++, Machine Learning, Java",Remote,Small (1-50)
JOB3805,Cyber Security Analyst,IBM,Jaipur,Part-time,8-12 LPA,0-2 years,2024-12-25,2025-01-23,LinkedIn,49,B.Tech,"Java, C++, Digital Marketing",Remote,Large (500+)
JOB3806,Graphic Designer,Accenture,Noida,Full-time,8-12 LPA,0-2 years,2025-01-21,2025-02-06,Naukri.com,403,PhD,"C++, Machine Learning, Excel",Hybrid,Large (500+)
JOB3807,Business Analyst,Amazon,Noida,Contract,5-8 LPA,0-2 years,2024-12-23,2025-01-16,LinkedIn,168,PhD,"Digital Marketing, AWS, React",Hybrid,Medium (51-500)
JOB3808,Graphic Designer,Deloitte,Ahmedabad,Full-time,12-20 LPA,2-5 years,2025-01-10,2025-01-20,LinkedIn,214,MBA,"Java, C++, Excel",Remote,Large (500+)
JOB3809,Sales Representative,Microsoft,Ahmedabad,Contract,3-5 LPA,2-5 years,2025-01-01,2025-01-21,LinkedIn,375,B.Tech,"Java, Digital Marketing, UI/UX",Onsite,Small (1-50)
JOB3810,Financial Analyst,Accenture,Kolkata,Internship,20+ LPA,0-2 years,2025-01-05,2025-01-20,Naukri.com,365,M.Tech,"UI/UX, Java, C++",Onsite,Large (500+)
JOB3811,Graphic Designer,Wipro,Bangalore,Part-time,20+ LPA,5-10 years,2025-01-20,2025-02-09,Indeed,465,MBA,"React, UI/UX, Python",Hybrid,Large (500+)
JOB3812,Cyber Security Analyst,HCL,Pune,Full-time,5-8 LPA,10+ years,2025-01-12,2025-01-27,Indeed,336,B.Tech,"SQL, React, C++",Onsite,Large (500+)
JOB3813,Graphic Designer,Infosys,Hyderabad,Contract,20+ LPA,0-2 years,2025-01-17,2025-02-12,LinkedIn,341,MBA,"SQL, Excel, Digital Marketing",Onsite,Medium (51-500)
JOB3814,Marketing Executive,Accenture,Bangalore,Internship,12-20 LPA,5-10 years,2025-01-07,2025-02-02,LinkedIn,403,M.Tech,"UI/UX, C++, Machine Learning",Hybrid,Medium (51-500)
JOB3815,HR Manager,Amazon,Bangalore,Full-time,12-20 LPA,2-5 years,2025-01-07,2025-02-01,Indeed,59,PhD,"Digital Marketing, Java, React",Onsite,Medium (51-500)
JOB3816,HR Manager,Microsoft,Ahmedabad,Full-time,20+ LPA,5-10 years,2024-12-30,2025-01-10,Naukri.com,20,B.Sc,"Digital Marketing, AWS, Python",Onsite,Small (1-50)
JOB3817,Business Analyst,Microsoft,Pune,Contract,8-12 LPA,10+ years,2024-12-23,2025-01-19,LinkedIn,424,B.Tech,"SQL, Python, Java",Remote,Medium (51-500)
JOB3818,Graphic Designer,HCL,Bangalore,Full-time,8-12 LPA,10+ years,2024-12-26,2025-01-08,Naukri.com,379,MBA,"Excel, SQL, UI/UX",Remote,Medium (51-500)
JOB3819,Data Scientist,Accenture,Jaipur,Internship,3-5 LPA,2-5 years,2024-12-30,2025-01-09,LinkedIn,382,B.Tech,"SQL, Digital Marketing, UI/UX",Hybrid,Small (1-50)
JOB3820,Cyber Security Analyst,Deloitte,Jaipur,Part-time,3-5 LPA,10+ years,2024-12-24,2025-01-22,Indeed,418,M.Tech,"C++, Digital Marketing, Java",Remote,Medium (51-500)
JOB3821,Marketing Executive,Wipro,Chennai,Full-time,20+ LPA,0-2 years,2025-01-02,2025-01-13,LinkedIn,261,B.Tech,"Digital Marketing, Python, React",Onsite,Large (500+)
JOB3822,Financial Analyst,TCS,Noida,Contract,12-20 LPA,10+ years,2025-01-17,2025-02-07,Indeed,463,MBA,"Machine Learning, Excel, Python",Remote,Medium (51-500)
JOB3823,Cyber Security Analyst,Google,Chennai,Full-time,20+ LPA,10+ years,2025-01-07,2025-01-25,Indeed,490,B.Sc,"Python, Excel, React",Hybrid,Large (500+)
JOB3824,Business Analyst,Amazon,Chennai,Contract,20+ LPA,10+ years,2025-01-20,2025-02-19,Indeed,219,MBA,"AWS, UI/UX, Python",Hybrid,Small (1-50)
JOB3825,Software Engineer,Wipro,Ahmedabad,Internship,12-20 LPA,10+ years,2025-01-01,2025-01-14,LinkedIn,437,M.Tech,"Python, Digital Marketing, React",Onsite,Medium (51-500)
JOB3826,Software Engineer,Google,Delhi,Internship,12-20 LPA,5-10 years,2024-12-27,2025-01-03,Naukri.com,473,M.Tech,"UI/UX, Java, React",Hybrid,Small (1-50)
JOB3827,HR Manager,TCS,Kolkata,Internship,5-8 LPA,5-10 years,2025-01-09,2025-01-21,LinkedIn,150,MBA,"C++, Java, React",Hybrid,Small (1-50)
JOB3828,Financial Analyst,HCL,Chennai,Part-time,20+ LPA,0-2 years,2024-12-28,2025-01-07,LinkedIn,248,MBA,"UI/UX, Machine Learning, React",Onsite,Large (500+)
JOB3829,Graphic Designer,Wipro,Hyderabad,Internship,3-5 LPA,10+ years,2025-01-06,2025-01-23,LinkedIn,107,B.Sc,"Digital Marketing, Java, UI/UX",Hybrid,Medium (51-500)
JOB3830,Sales Representative,Accenture,Jaipur,Full-time,20+ LPA,10+ years,2025-01-16,2025-01-27,Naukri.com,74,M.Tech,"Java, C++, Machine Learning",Onsite,Small (1-50)
JOB3831,Data Scientist,Microsoft,Pune,Contract,3-5 LPA,2-5 years,2025-01-10,2025-01-28,Indeed,117,B.Tech,"React, SQL, Java",Remote,Medium (51-500)
JOB3832,Financial Analyst,HCL,Noida,Full-time,8-12 LPA,0-2 years,2025-01-21,2025-02-19,Naukri.com,496,MBA,"Excel, Machine Learning, AWS",Hybrid,Medium (51-500)
JOB3833,Data Scientist,Amazon,Pune,Full-time,8-12 LPA,10+ years,2025-01-08,2025-01-17,Naukri.com,358,M.Tech,"AWS, Python, Digital Marketing",Onsite,Medium (51-500)
JOB3834,Business Analyst,HCL,Bangalore,Contract,5-8 LPA,2-5 years,2025-01-19,2025-02-05,Indeed,298,M.Tech,"Python, React, Digital Marketing",Onsite,Large (500+)
JOB3835,Sales Representative,Microsoft,Mumbai,Internship,12-20 LPA,5-10 years,2025-01-01,2025-01-21,Indeed,486,B.Sc,"Digital Marketing, C++, Java",Onsite,Large (500+)
JOB3836,Software Engineer,Infosys,Chennai,Part-time,5-8 LPA,2-5 years,2024-12-26,2025-01-07,Naukri.com,312,B.Tech,"Excel, SQL, Java",Hybrid,Small (1-50)
JOB3837,Cyber Security Analyst,Amazon,Chennai,Part-time,12-20 LPA,5-10 years,2025-01-17,2025-02-02,LinkedIn,344,M.Tech,"Machine Learning, AWS, Excel",Remote,Large (500+)
JOB3838,Marketing Executive,TCS,Mumbai,Part-time,8-12 LPA,5-10 years,2025-01-08,2025-02-07,Naukri.com,45,B.Tech,"AWS, Python, React",Onsite,Medium (51-500)
JOB3839,Business Analyst,Microsoft,Pune,Internship,3-5 LPA,2-5 years,2025-01-13,2025-02-02,Indeed,180,M.Tech,"Digital Marketing, SQL, AWS",Hybrid,Medium (51-500)
JOB3840,Financial Analyst,HCL,Bangalore,Full-time,20+ LPA,2-5 years,2025-01-12,2025-02-07,LinkedIn,46,B.Sc,"React, AWS, Digital Marketing",Hybrid,Large (500+)
JOB3841,Graphic Designer,HCL,Mumbai,Full-time,12-20 LPA,5-10 years,2025-01-04,2025-01-24,Indeed,87,PhD,"Digital Marketing, Python, React",Remote,Medium (51-500)
JOB3842,Graphic Designer,IBM,Pune,Internship,5-8 LPA,0-2 years,2024-12-25,2025-01-24,Indeed,484,MBA,"Digital Marketing, React, C++",Onsite,Medium (51-500)
JOB3843,Sales Representative,IBM,Kolkata,Full-time,20+ LPA,5-10 years,2024-12-27,2025-01-15,LinkedIn,181,M.Tech,"C++, React, AWS",Hybrid,Medium (51-500)
JOB3844,Software Engineer,Amazon,Pune,Part-time,5-8 LPA,5-10 years,2024-12-23,2025-01-19,LinkedIn,116,B.Sc,"React, Java, Excel",Onsite,Medium (51-500)
JOB3845,Cyber Security Analyst,Deloitte,Bangalore,Full-time,20+ LPA,2-5 years,2025-01-01,2025-01-23,Indeed,295,M.Tech,"Java, Excel, Digital Marketing",Onsite,Large (500+)
JOB3846,Financial Analyst,HCL,Bangalore,Full-time,8-12 LPA,5-10 years,2025-01-07,2025-01-16,Naukri.com,216,B.Sc,"Machine Learning, Digital Marketing, Python",Remote,Large (500+)
JOB3847,Product Manager,Infosys,Chennai,Part-time,8-12 LPA,0-2 years,2024-12-24,2025-01-12,Indeed,284,B.Tech,"SQL, C++, Excel",Hybrid,Large (500+)
JOB3848,HR Manager,Google,Delhi,Part-time,8-12 LPA,10+ years,2025-01-06,2025-01-23,Indeed,207,PhD,"C++, AWS, Machine Learning",Remote,Medium (51-500)
JOB3849,Software Engineer,TCS,Jaipur,Full-time,12-20 LPA,2-5 years,2025-01-10,2025-01-23,Indeed,135,B.Sc,"UI/UX, Python, Digital Marketing",Hybrid,Large (500+)
JOB3850,Product Manager,Infosys,Ahmedabad,Internship,3-5 LPA,5-10 years,2025-01-21,2025-01-29,Naukri.com,70,B.Sc,"Digital Marketing, SQL, UI/UX",Remote,Small (1-50)
JOB3851,Business Analyst,Google,Pune,Part-time,5-8 LPA,10+ years,2024-12-31,2025-01-28,LinkedIn,49,PhD,"Java, C++, Python",Onsite,Large (500+)
JOB3852,HR Manager,Microsoft,Mumbai,Internship,3-5 LPA,10+ years,2025-01-22,2025-02-15,Indeed,258,M.Tech,"React, AWS, UI/UX",Onsite,Medium (51-500)
JOB3853,Financial Analyst,Accenture,Mumbai,Internship,20+ LPA,0-2 years,2024-12-26,2025-01-03,LinkedIn,62,PhD,"Python, Excel, Java",Hybrid,Medium (51-500)
JOB3854,HR Manager,Accenture,Ahmedabad,Part-time,8-12 LPA,2-5 years,2025-01-17,2025-02-04,LinkedIn,178,PhD,"SQL, Machine Learning, AWS",Remote,Small (1-50)
JOB3855,Financial Analyst,IBM,Jaipur,Contract,20+ LPA,10+ years,2024-12-31,2025-01-14,LinkedIn,195,M.Tech,"AWS, C++, Digital Marketing",Remote,Large (500+)
JOB3856,Software Engineer,IBM,Jaipur,Contract,8-12 LPA,0-2 years,2024-12-31,2025-01-25,LinkedIn,58,B.Tech,"React, SQL, Java",Remote,Small (1-50)
JOB3857,Product Manager,TCS,Ahmedabad,Part-time,3-5 LPA,2-5 years,2025-01-05,2025-02-04,LinkedIn,66,B.Tech,"Python, Digital Marketing, Excel",Onsite,Large (500+)
JOB3858,Data Scientist,Google,Chennai,Contract,3-5 LPA,0-2 years,2025-01-01,2025-01-11,Indeed,462,B.Tech,"Digital Marketing, AWS, UI/UX",Remote,Medium (51-500)
JOB3859,Product Manager,HCL,Noida,Internship,3-5 LPA,2-5 years,2024-12-31,2025-01-08,LinkedIn,168,MBA,"AWS, SQL, Java",Onsite,Medium (51-500)
JOB3860,Graphic Designer,TCS,Bangalore,Internship,8-12 LPA,5-10 years,2025-01-21,2025-02-09,Indeed,87,PhD,"Excel, AWS, React",Hybrid,Medium (51-500)
JOB3861,Business Analyst,IBM,Pune,Internship,8-12 LPA,10+ years,2025-01-14,2025-02-12,LinkedIn,417,B.Tech,"React, UI/UX, Machine Learning",Remote,Small (1-50)
JOB3862,Cyber Security Analyst,Infosys,Noida,Internship,3-5 LPA,0-2 years,2024-12-23,2025-01-09,LinkedIn,370,B.Sc,"Excel, Python, C++",Onsite,Medium (51-500)
JOB3863,Graphic Designer,TCS,Kolkata,Full-time,5-8 LPA,0-2 years,2025-01-18,2025-01-26,LinkedIn,213,B.Tech,"C++, Digital Marketing, React",Hybrid,Large (500+)
JOB3864,Cyber Security Analyst,Infosys,Pune,Part-time,5-8 LPA,10+ years,2025-01-20,2025-01-30,Indeed,39,B.Tech,"UI/UX, Python, AWS",Remote,Small (1-50)
